player_id,player_name,pga_number,country,flag,start_hole,early_late,r1_teetime,r2_teetime,r3_teetime,r4_teetime,event_id,r1_wave,r2_wave
28146,"Knade, Peter",58658,USA,USA,0,0,,,,,457,,
16395,"Kohles, Ben",36884,USA,USA,0,0,,,,,457,,
6169,"Kuchar, Matt",23108,USA,USA,0,0,,,,,457,,
15980,"Lipsky, David",36326,USA,USA,0,0,,,,,457,,
7960,"List, Luke",27129,USA,USA,0,0,,,,,457,,
24538,"Longmire, David",54404,USA,USA,0,0,,,,,457,,
17723,"Lower, Justin",40162,USA,USA,0,0,,,,,457,,
30739,"Madariaga, Alejandro",64561,MEX,MEX,0,0,,,,,457,,
23505,"McGreevy, Max",51950,USA,USA,0,0,,,,,457,,
17365,"Mitchell, Keith",39546,USA,USA,0,0,,,,,457,,
7655,"Molinari, Francesco",25198,ITA,ITA,0,0,,,,,457,,
25442,"Montgomery, Taylor",55789,USA,USA,0,0,,,,,457,,
21944,"Moore, Taylor",49947,USA,USA,0,0,,,,,457,,
30891,"Morales, Omar",64690,MEX,MEX,0,0,,,,,457,,
29770,"Mouw, William",63121,USA,USA,0,0,,,,,457,,
18761,"Mullinax, Trey",46601,USA,USA,0,0,,,,,457,,
15676,"Norgaard, Niklas",35706,DEN,DEN,0,0,,,,,457,,
11657,"Norlander, Henrik",30163,SWE,SWE,0,0,,,,,457,,
13412,"Olesen, Thorbjorn",33968,DEN,DEN,0,0,,,,,457,,
25263,"Onishi, Kaito",55623,JPN,JPN,0,0,,,,,457,,
27820,"Pak, John",59160,USA,USA,0,0,,,,,457,,
7820,"Palmer, Ryan",23320,USA,USA,0,0,,,,,457,,
30033872,"Park, Hogan",69903,USA,USA,0,0,,,,,457,,
22087,"Paul, Jeremy",50582,GER,GER,0,0,,,,,457,,
19960,"Pavon, Matthieu",48153,FRA,FRA,0,0,,,,,457,,
19620,"Pereda, Raul",47806,MEX,MEX,0,0,,,,,457,,
20730,"Perez, Victor",47679,FRA,FRA,0,0,,,,,457,,
16341,"Peterson, Paul",36824,USA,USA,0,0,,,,,457,,
27164,"Phillips, Chandler",57900,USA,USA,0,0,,,,,457,,
10104,"Power, Seamus",28252,IRL,IRL,0,0,,,,,457,,
14704,"Putnam, Andrew",34256,USA,USA,0,0,,,,,457,,
19840,"Ramey, Chad",47983,USA,USA,0,0,,,,,457,,
30892,"Riedel, Matthew",64693,USA,USA,0,0,,,,,457,,
19872,"Riley, Davis",47995,USA,USA,0,0,,,,,457,,
16283,"Rodgers, Patrick",36699,USA,USA,0,0,,,,,457,,
22736,"Rosenmueller, Thomas",60882,GER,GER,0,0,,,,,457,,
18424,"Roy, Kevin",39335,USA,USA,0,0,,,,,457,,
18770,"Rozner, Antoine",46646,FRA,FRA,0,0,,,,,457,,
16715,"Ryder, Sam",37275,USA,USA,0,0,,,,,457,,
27183,"Salinda, Isaiah",56781,USA,USA,0,0,,,,,457,,
13196,"Sapp, Garrett",32467,USA,USA,0,0,,,,,457,,
30814,"Sargent, Gordon",64442,USA,USA,0,0,,,,,457,,
19477,"Schenk, Adam",47347,USA,USA,0,0,,,,,457,,
20722,"Schmid, Matti",48867,GER,GER,0,0,,,,,457,,
23482,"Sigg, Greyson",51890,USA,USA,0,0,,,,,457,,
17381,"Silverman, Ben",39327,CAN,CAN,0,0,,,,,457,,
10873,"Skinns, David",27139,ENG,ENG,0,0,,,,,457,,
8820,"Snedeker, Brandt",27649,USA,USA,0,0,,,,,457,,
17536,"Spaun, J.J.",39324,USA,USA,0,0,,,,,457,,
8480,"Streelman, Kevin",27214,USA,USA,0,0,,,,,457,,
29279,"Suber, Jackson",60019,USA,USA,0,0,,,,,457,,
13997,"Svensson, Adam",40115,CAN,CAN,0,0,,,,,457,,
26850,"Svensson, Jesper",57586,SWE,SWE,0,0,,,,,457,,
13126,"Taylor, Nick",25493,CAN,CAN,0,0,,,,,457,,
26649,"Thorbjornsen, Michael",57364,USA,USA,0,0,,,,,457,,
23502,"Thornberry, Braden",52144,USA,USA,0,0,,,,,457,,
23816,"Valimaki, Sami",52666,FIN,FIN,0,0,,,,,457,,
17550,"Van Rooyen, Erik",40006,RSA,RSA,0,0,,,,,457,,
27762,"Velo, Kevin",58619,USA,USA,0,0,,,,,457,,
15651,"Ventura, Kris",35658,NOR,NOR,0,0,,,,,457,,
9171,"Villegas, Camilo",27770,COL,COL,0,0,,,,,457,,
20706,"Wallace, Matt",48887,ENG,ENG,0,0,,,,,457,,
33761,"Weaver, Tyler",68612,ENG,ENG,0,0,,,,,457,,
25908,"Whaley, Vince",51894,USA,USA,0,0,,,,,457,,
22051,"Wise, Aaron",49964,USA,USA,0,0,,,,,457,,
23656,"Young, Carson",52513,USA,USA,0,0,,,,,457,,
17881,"Yu, Kevin",45242,TPE,TPE,0,0,,,,,457,,
